State/UT,Confirmed Cases
Andaman and Nicobar Islands,10034
Andhra Pradesh,2319653
Arunachal Pradesh,64495
Assam,724204
Bihar,830514
Chandigarh,91976
Chhattisgarh,1152228
Dadra and Nagar Haveli and Daman and Diu,11441
Delhi,1871657
Goa,245376
Gujarat,1224214
Haryana,988156
Himachal Pradesh,284737
Jammu and Kashmir,453966
Jharkhand,435196
Karnataka,3946645
Kerala,6538536
Ladakh,28242
Lakshadweep,11402
Madhya Pradesh,1041281
Maharashtra,7876382
Manipur,137205
Meghalaya,93792
Mizoram,226590
Nagaland,35488
Odisha,1287968
Puducherry,165777
Punjab,759355
Rajasthan,1283265
Sikkim,39148
Tamil Nadu,3453390
Telangana,791709
Tripura,100879
Uttar Pradesh,2072268
Uttarakhand,437356
West Bengal,2017900
